YEAR,MONTH,DAY_OF_WEEK,ORIGIN_AIRPORT,AIRLINE,DEPARTURE_DELAY,CANCELLED,CANCELLATION_REASON,Status
2015,1,4,LAS,WN,2,0,,Delayed
2015,1,4,LAS,WN,3,0,,Delayed
2015,1,4,LAS,WN,7,0,,Delayed
2015,1,4,LAS,WN,1,0,,Delayed
2015,1,4,LAS,WN,2,0,,Delayed
2015,1,4,LAS,WN,26,0,,Delayed
2015,1,4,LAS,WN,4,0,,Delayed
2015,1,4,LAS,WN,45,0,,Delayed
2015,1,4,LAS,WN,11,0,,Delayed
2015,1,4,LAS,WN,3,0,,Delayed
2015,1,4,LAS,WN,41,0,,Delayed
2015,1,4,LAS,WN,11,0,,Delayed
2015,1,4,LAS,WN,23,0,,Delayed
2015,1,4,LAS,WN,9,0,,Delayed
2015,1,4,LAS,WN,48,0,,Delayed
2015,1,4,LAS,WN,14,0,,Delayed
2015,1,4,LAS,WN,12,0,,Delayed
2015,1,4,LAS,WN,17,0,,Delayed
2015,1,4,LAS,WN,1,0,,Delayed
2015,1,4,LAS,WN,12,0,,Delayed
2015,1,4,LAS,WN,41,0,,Delayed
2015,1,4,LAS,WN,3,0,,Delayed
2015,1,4,LAS,WN,1,0,,Delayed
2015,1,4,LAS,WN,18,0,,Delayed
2015,1,4,LAS,WN,16,0,,Delayed
2015,1,4,LAS,WN,7,0,,Delayed
2015,1,4,LAS,WN,5,0,,Delayed
2015,1,4,LAS,WN,60,0,,Delayed
2015,1,4,LAS,WN,137,0,,Delayed
2015,1,4,LAS,WN,41,0,,Delayed
2015,1,4,LAS,WN,63,0,,Delayed
2015,1,4,LAS,WN,39,0,,Delayed
2015,1,4,LAS,WN,14,0,,Delayed
2015,1,4,LAS,WN,33,0,,Delayed
2015,1,4,LAS,WN,14,0,,Delayed
2015,1,4,LAS,WN,12,0,,Delayed
2015,1,4,LAS,WN,91,0,,Delayed
2015,1,4,LAS,WN,12,0,,Delayed
2015,1,4,LAS,WN,2,0,,Delayed
2015,1,4,LAS,WN,24,0,,Delayed
2015,1,4,LAS,WN,78,0,,Delayed
2015,1,4,LAS,WN,19,0,,Delayed
2015,1,4,LAS,WN,43,0,,Delayed
2015,1,4,LAS,WN,4,0,,Delayed
2015,1,4,LAS,WN,17,0,,Delayed
2015,1,4,LAS,WN,3,0,,Delayed
2015,1,4,LAS,WN,39,0,,Delayed
2015,1,4,LAS,WN,39,0,,Delayed
2015,1,4,LAS,WN,21,0,,Delayed
2015,1,4,LAS,WN,10,0,,Delayed
2015,1,4,LAS,WN,6,0,,Delayed
2015,1,4,LAS,WN,7,0,,Delayed
2015,1,4,LAS,WN,21,0,,Delayed
2015,1,4,LAS,WN,15,0,,Delayed
2015,1,4,LAS,WN,26,0,,Delayed
2015,1,4,LAS,WN,12,0,,Delayed
2015,1,4,LAS,WN,16,0,,Delayed
2015,1,4,LAS,WN,12,0,,Delayed
2015,1,4,LAS,WN,6,0,,Delayed
